"id_ib";"id_fun";"id_fm";"id_um";"str_nombre_ia";"txt_descripcion";"str_formula";"int_codigo_ib";"str_codigo_ib"
"142";"1";"269";"";"Brecha de la pobreza de ingresos";"Diferencia agregada entre el ingreso de las personas (u hogares) pobres y el valor de una canasta básica de bienes y servicios (o línea de pobreza). Se define como ""pobres"" a aquellas personas que pertenecen a hogares cuyo ingreso per cápita, en un períod疤Ỵ疥";"";"142";"Desig005"
"143";"1";"270";"";"Severidad de la pobreza de ingresos";"";"";"143";"Desig039"
"144";"1";"272";"";"Tipología de la pobreza de Katzman";"";"";"144";"Desig040"
"145";"1";"273";"";"Índice de Sen";"";"";"145";"Desig021"
"146";"1";"274";"";"Ingreso del hogar según deciles";"";"";"146";"Desig024"
"147";"1";"275";"";"Ingreso per cápita del hogar según deciles";"";"";"147";"Desig025"
"148";"1";"276";"";"Miembros del hogar según deciles de ingreso";"";"";"148";"Desig027"
"149";"1";"277";"";"Perceptores de ingresos del hogar según deciles de ingreso";"";"";"149";"Desig028"
"150";"1";"278";"";"Índice de vulnerabilidad social (IVS)";"";"";"150";"Desig022"
"151";"1";"279";"";"Índice de desarrollo humano (IDH)";"";"";"151";"Desig017"
"152";"1";"280";"";"Índice de pobreza humana (IPH)";"";"";"152";"Desig019"
"153";"1";"341";"";"Dinero";"";"";"153";"Econo005"
"154";"1";"341";"";"Tasas de interés domésticas";"";"";"154";"Econo024"
"155";"1";"341";"";"Balanza comercial y saldo en cuenta corriente";"";"";"155";"Econo003"
"156";"1";"341";"";"Apertura de la economía";"";"";"156";"Econo002"
"157";"1";"352";"";"Reserva monetaria internacional e inversión extranjera directa";"";"";"157";"Econo017"
"158";"1";"352";"";"Tipo de cambio y devaluación";"";"";"158";"Econo028"
"159";"1";"352";"";"Exportaciones según lugar de destino";"";"";"159";"Econo010"
"160";"1";"352";"";"Exportaciones según productos";"";"";"160";"Econo011"
"161";"1";"352";"";"Importaciones según lugar de origen";"";"";"161";"Econo013"
"162";"1";"352";"";"Importaciones según uso o destino económico";"";"";"162";"Econo014"
"163";"1";"343";"";"Saldo final de la deuda externa";"";"";"163";"Econo019"
"164";"1";"344";"";"Servicio total de la deuda externa (pública y privada)";"";"";"164";"Econo022"
"165";"1";"345";"";"Servicio de la deuda externa pública";"";"";"165";"Econo021"
"166";"1";"346";"";"Servicio de la deuda externa privada";"";"";"166";"Econo020"
"167";"1";"347";"";"Ingresos totales del sector público no financiero";"";"";"167";"Econo016"
"168";"1";"348";"";"Gastos totales del sector público no financiero";"";"";"168";"Econo012"
"169";"1";"349";"";"Resultado global y resultado primario";"";"";"169";"Econo018"
"171";"1";"361";"";"Tamaño de la economía";"";"";"171";"Econo023"
"173";"1";"";"";"Estructura de la economía - Producción";"";"";"173";"Econo009"
"174";"1";"";"";"Estructura de la economía - Demanda";"";"";"174";"Econo007"
"175";"1";"341";"";"Estructura de la economía - Distribución primaria del ingreso (PIB)";"";"";"175";"Econo008"
"176";"1";"359";"";"Estructura de la economía - Bienes transables/ no transables";"";"";"176";"Econo006"
"177";"1";"358";"";"Términos de intercambio internacional";"";"";"177";"Econo027"
"178";"1";"";"";"Términos de intercambio doméstico";"";"";"178";"Econo026"
"179";"1";"";"";"Términos de intercambio bienes transables - No transables";"";"";"179";"Econo025"
"172";"1";"771";"";"Crecimiento económico";"Representa el aumento en el nivel de producción de bienes y servicios de una economía en un período de tiempo dado. Se calcula mediante la variación porcentual del PIB real.";"";"172";"Econo004"
"128";"1";"260";"";"Extrema pobreza por necesidades básicas insatisfechas (NBI)";"Se define como ""pobres"" por Necesicades Básicas Insatisfechas (NBI), a aquellas personas que pertenecen a hogares que presentan carencias persistentes en la satisfacción de sus necesidades básicas incluyendo: vivienda, salud, educación y empleo. Se definen 5 características específicas donde se establece a un hogar como pobre si presenta una de ellas, o en situación de extrema pobreza si presenta dos o más de ellas. No existe dato para los años 2006, 2007 porque la encuesta no levantó las preguntas necesarias para replicar el cálculo en estos años.";"";"128";"Desig011"
"180";"1";"19";"";"Años promedio para culminar la primaria";"";"";"180";"Educa018"
"181";"1";"20";"";"Tasa de supervivencia al sexto de básica (quinto grado)";"";"";"181";"Educa073"
"182";"1";"18";"";"Eficiencia del sistema educativo";"";"";"182";"Educa027"
"183";"1";"21";"";"Promoción escolar Sistema Público";"";"";"183";"Educa064"
"184";"1";"22";"";"Repetición escolar";"";"";"184";"Educa067"
"185";"1";"23";"";"Abandono escolar sistema público";"";"";"185";"Educa023"
"186";"1";"24";"";"Logros educativos";"";"";"186";"Educa046"
"187";"1";"10";"";"Tasa bruta de asistencia";"Alumnos/as que asisten a establecimientos de enseñanza de un determinado nivel independiente de su edad. Este indicador da cuenta de la expansión de la matrícula en establecimientos de enseñanza en cada uno de los niveles del sistema educativo entre la po疤Ỵ疥";"";"187";"Educa070"
"189";"1";"";"";"Razones de no matrícula 6 -11 años";"";"";"190";"Educa066"
"190";"1";"13";"";"Tiempo para llegar a la escuela";"";"";"191";"Educa080"
"191";"1";"";"";"Transporte a la escuela";"";"";"192";"Educa084"
"193";"1";"";"";"Índice multivariado de diferencias de género en educación (IDEGE)";"";"";"194";"Educa036"
"197";"1";"5";"";"Primaria completa";"";"";"198";"Educa062"
"201";"1";"9";"";"Título universitario";"Personas de 24 años y más que obtuvieron un título universitario. Uno de los elementos de la eficiencia de un sistema educativo es su capacidad de titulación.";"";"202";"Educa083"
"202";"1";"";"";"Índice multivariado de educación (IME)";"";"";"203";"Educa037"
"203";"1";"25";"";"Alumnado de Sistema Público";"";"";"204";"Educa010"
"204";"1";"26";"";"Alumnos/as por profesor/a";"";"";"205";"Educa013"
"205";"1";"27";"";"Alumnos/as por plantel";"";"";"206";"Educa012"
"206";"1";"28";"";"Alumnos/as por aula";"";"";"207";"Educa011"
"436";"1";"";"";"Embarazos deseados";"";"";"438";"Sexua006"
"207";"1";"29";"";"Establecimientos fiscales unidocentes";"";"";"208";"Educa033"
"208";"1";"30";"";"Escuelas incompletas (Primaria)";"";"";"209";"Educa030"
"209";"1";"503";"";"Desayuno escolar gratuito";"Se refiere a todos los alumnos/as matriculados en el nivel primario, independientemente del tipo de sostenimiento del plantel (privados, fiscales, fiscomisionales y municipales), que reciben desayuno escolar.";"";"210";"Educa022"
"210";"1";"31";"";"Nivel de instrucción de los docentes";"";"";"211";"Educa058"
"211";"1";"32";"";"Título docente";"";"";"212";"Educa082"
"212";"1";"33";"";"Experiencia docente";"";"";"213";"Educa034"
"213";"1";"34";"";"Categoría docente";"";"";"214";"Educa019"
"214";"1";"554";"";"Estructura de la PEA";"";"";"215";"Emple006"
"215";"1";"";"";"Estructura de la PEA ocupada";"";"";"216";"Emple008"
"216";"1";"162";"";"Tasa de ocupación bruta ";"";"";"217";"Emple046"
"217";"1";"163";"";"Tasa de ocupación global ";"";"";"218";"Emple065"
"218";"1";"164";"";"Tasa de dependencia económica";"";"";"219";"Emple051"
"220";"1";"166";"";"Tasa de subempleo bruta ";"";"";"221";"Emple049"
"221";"1";"168";"";"Tasa de subempleo visible en el sector moderno";"";"";"222";"Emple064"
"222";"1";"169";"";"Tasa de subempleo invisible en el sector moderno";"";"";"223";"Emple062"
"223";"1";"170";"";"Tasa de subempleo en el sector moderno";"";"";"224";"Emple061"
"224";"1";"171";"";"Tasa de desempleo abierto";"";"";"225";"Emple053"
"225";"1";"172";"";"Tasa de desempleo oculto";"";"";"226";"Emple055"
"226";"1";"173";"";"Tasa de ocupados en el sector formal";"";"";"227";"Emple056"
"227";"1";"175";"";"Tasa de ocupados en el servicio doméstico";"";"";"228";"Emple058"
"229";"1";"177";"";"Tasa de subempleo por insuficiencia de horas (visibles)";"";"";"230";"Emple063"
"230";"1";"178";"";"Tasa de otras formas de subempleo";"";"";"231";"Emple060"
"188";"1";"11";"";"Tasa neta de Asistencia";"DEscripcion tasa neta de asistencia";"";"188";"Educa074"
"232";"1";"174";"";"Tasa de ocupados en el sector informal";"";"";"233";"Emple057"
"235";"1";"148";"";"Tasa de participación laboral bruta ";"";"";"236";"Emple048"
"236";"1";"149";"";"Tasa de participación laboral global ";"";"";"237";"Emple067"
"238";"1";"155";"";"Salario mínimo vital general";"";"";"239";"Emple045"
"239";"1";"156";"";"Ingreso efectivo mensual";"Es la suma del salario mínimo vital general más las remuneraciones complementarias establecidas por ley para los trabajadores del sector privado vigentes en un año determinado.";"";"240";"Emple013"
"240";"1";"";"";"Desigualdad de género en el ingreso laboral";"";"";"241";"Emple003"
"241";"1";"158";"";"Ingreso laboral personal promedio";"Valor promedio del ingreso mensual, de las personas ocupadas,  en todas sus actividades o trabajos remunerados en un determinado año.";"";"242";"Emple014"
"243";"1";"150";"";"Población cubierta por el seguro social general";"";"";"244";"Emple041"
"244";"1";"151";"";"Población cubierta por el seguro social campesino";"";"";"245";"Emple040"
"247";"1";"";"";"Trabajan y no estudian";"";"";"248";"Emple033"
"248";"1";"";"";"No trabajan ni estudian";"";"";"249";"Emple026"
"249";"1";"";"";"No trabajan y sí estudian";"";"";"250";"Emple027"
"250";"1";"";"";"Trabajan y estudian";"";"";"251";"Emple032"
"251";"1";"";"";"Edad de inicio del trabajo de niños/as y adolescentes";"";"";"252";"Emple005"
"252";"1";"";"";"Niños/as que trabajan en la calle";"";"";"253";"Emple029"
"253";"1";"";"";"Trabajo con ingreso laboral";"";"";"254";"Emple023"
"254";"1";"";"";"Aporte al ingreso del hogar";"";"";"255";"Emple024"
"255";"1";"";"";"Trabajo por gusto personal";"";"";"256";"Emple031"
"256";"1";"";"";"Trabajo sin ingreso laboral";"";"";"257";"Emple034"
"257";"1";"";"";"Días que trabajan los niños/as a la semana";"";"";"258";"Emple004"
"258";"1";"";"";"Horas que trabajan los niños/as al día";"";"";"259";"Emple011"
"259";"1";"";"";"Niños/as expuestos a riesgos de salud en el trabajo";"";"";"260";"Emple021"
"260";"1";"";"";"Niños/as que no utilizan equipos de protección en el trabajo";"";"";"261";"Emple028"
"261";"1";"";"";"Niños/as obligados a trabajar";"";"";"262";"Emple022"
"262";"1";"";"";"Horas a la semana que los niños/as trabajadores dedican a las tareas del hogar";"";"";"263";"Emple009"
"263";"1";"";"";"Niños/as trabajadores que en su tiempo libre juegan";"";"";"264";"Emple036"
"264";"1";"";"";"Niños/as trabajadores que en su tiempo libre hacen deporte";"";"";"265";"Emple035"
"265";"1";"";"";"Niños/as que entregan una parte o todo su salario al hogar";"";"";"266";"Emple025"
"266";"1";"";"";"Niños/as que trabajan para ayudar al ingreso familiar";"";"";"267";"Emple030"
"267";"1";"310";"";"Presupuesto Sectorial Educación (devengado) como: % del Presupuesto General del estado y % del Presupuesto del Sector Social";"";"";"268";"Inver018"
"268";"1";"310";"";"Presupuesto Sectorial Educación (devengado) como % del PIB";"";"";"269";"Inver017"
"269";"1";"310";"";"Presupuesto Sectorial Educación (devengado) por Naturaleza del Gasto";"";"";"270";"Inver020"
"270";"1";"310";"";"Presupuesto Sectorial Educación (devengado) en millones de dólares";"";"";"271";"Inver021"
"271";"1";"310";"";"Presupuesto Sectorial Educación (devengado) per cápita";"";"";"272";"Inver003"
"272";"1";"310";"";"Presupuesto Sectorial Educación (devengado) por Fuente de Financiamiento";"";"";"273";"Inver019"
"273";"1";"310";"";"Presupuesto General del Estado a nivel sectorial en millones de dólares";"";"";"274";"Inver011"
"274";"1";"";"";"Presupuesto General del Estado en millones de dólares";"";"";"275";"Inver010"
"275";"1";"310";"";"Presupuesto General del Estado a nivel sectorial (devengado) como % del PIB";"";"";"276";"Inver008"
"276";"1";"310";"";"Presupuesto General del Estado a nivel sectorial (devengado) Per cápita";"";"";"277";"Inver009"
"277";"1";"310";"";"Presupuesto Sectorial Inclusión Social (devengado) como: % del Presupuesto General del estado y % del Presupuesto del Sector Social";"";"";"278";"Inver022"
"278";"1";"310";"";"Presupuesto Sectorial Inclusión Social (devengado) como % del PIB";"";"";"279";"Inver026"
"279";"1";"310";"";"Presupuesto Sectorial Inclusión Social (devengado) por Naturaleza del Gasto";"";"";"280";"Inver024"
"280";"1";"310";"";"Presupuesto Sectorial Inclusión Social (devengado) en millones de dólares";"";"";"281";"Inver025"
"281";"1";"310";"";"Presupuesto Sectorial Inclusión Social (devengado) per cápita";"";"";"282";"Inver004"
"282";"1";"310";"";"Presupuesto Sectorial Inclusión Social (devengado) por Fuente de Financiamiento";"";"";"283";"Inver023"
"283";"1";"310";"";"Presupuesto Sector relaciones laborales, como porcentaje del Presupuesto General del Estado (PGE) y porcentaje del Presupuesto del Sector Social (devengados)";"";"";"284";"Inver028"
"284";"1";"310";"";"Presupuesto Sector relaciones laborales (devengado), como porcentaje del PIB";"";"";"285";"Inver027"
"285";"1";"310";"";"Presupuesto Sector relaciones laborales, desglosado por tipo de gasto (partidas corrientes y de inversión)";"";"";"286";"Inver030"
"286";"1";"310";"";"Presupuesto Sector relaciones laborales, en millones de dólares EEUU";"";"";"287";"Inver031"
"287";"1";"310";"";"Presupuesto del Sector relaciones laborales (devengado), per capita";"";"";"288";"Inver005"
"288";"1";"310";"";"Presupuesto Sector relaciones laborales, desglosado por Fuente de Financiamiento";"";"";"289";"Inver029"
"289";"1";"310";"";"Presupuesto Sectorial Salud (devengado) como: % del Presupuesto General del estado y % del Presupuesto del Sector Social";"";"";"290";"Inver033"
"290";"1";"310";"";"Presupuesto Sectorial Salud (devengado) como % del PIB";"";"";"291";"Inver032"
"291";"1";"310";"";"Presupuesto Sectorial Salud (devengado) por Naturaleza del Gasto";"";"";"292";"Inver035"
"292";"1";"310";"";"Presupuesto Sectorial Salud (devengado) en millones de dólares";"";"";"293";"Inver036"
"293";"1";"310";"";"Presupuesto Sectorial Salud (devengado) per cápita";"";"";"294";"Inver006"
"294";"1";"310";"";"Presupuesto Sectorial Salud (devengado) por Fuente de Financiamiento";"";"";"295";"Inver034"
"295";"1";"310";"";"Composición del Presupuesto del Sector Social (devengado)";"";"";"296";"Inver001"
"296";"1";"310";"";"Presupuesto Sector Social (devengado) por Naturaleza del Gasto";"";"";"297";"Inver039"
"297";"1";"310";"";"Presupuesto Sector Social (devengado) en millones de dólares";"";"";"298";"Inver040"
"298";"1";"310";"";"Presupuesto Sector Social (devengado) como % del Presupuesto General del estado";"";"";"299";"Inver038"
"301";"1";"310";"";"Presupuesto Sectorial Vivienda (devengado) como: % del Presupuesto General del estado y % del Presupuesto del Sector Social";"";"";"302";"Inver013"
"302";"1";"310";"";"Presupuesto Sectorial Vivienda (devengado) por Naturaleza del Gasto";"";"";"303";"Inver015"
"303";"1";"310";"";"Presupuesto Sectorial Vivienda (devengado) como % del PIB";"";"";"304";"Inver012"
"304";"1";"310";"";"Presupuesto Sectorial Vivienda (devengado) en millones de dólares";"";"";"305";"Inver016"
